Date,BROS,DBA,FARM,JDEP,KC=F,KDP,MDLZ,NSRGY,SBUX,SJM,TAST,WEST
2022-12-28,27.790000915527344,17.956600189208984,4.539999961853027,,173.5500030517578,32.7272834777832,61.298465728759766,105.77161407470703,91.09725952148438,140.92782592773438,,13.050000190734863
2022-12-29,28.09000015258789,17.8679256439209,4.619999885559082,,170.0500030517578,32.78218078613281,61.782798767089844,106.89586639404297,92.17821502685547,141.07907104492188,,13.399999618530273
2022-12-30,28.190000534057617,17.8679256439209,4.610000133514404,,167.3000030517578,32.62664031982422,61.487579345703125,105.42427825927734,91.651611328125,140.99014282226562,,13.359999656677246
2023-01-03,27.15999984741211,17.672842025756836,4.610000133514404,,166.3000030517578,32.52599334716797,61.11855697631836,106.6856460571289,93.15758514404297,141.461669921875,,13.470000267028809
2023-01-04,29.260000228881836,17.46002197265625,4.679999828338623,,161.3000030517578,32.791324615478516,61.5613899230957,108.7696304321289,96.5113525390625,140.74989318847656,,13.770000457763672
2023-01-05,29.700000762939453,17.415685653686523,4.5,,160.5500030517578,32.469303131103516,61.06321716308594,107.80990600585938,96.48365020751953,141.81756591796875,,13.770000457763672
2023-01-06,29.530000686645508,17.344745635986328,4.739999771118164,,158.3000030517578,33.36177062988281,62.751468658447266,109.40031433105469,98.57169342041016,144.664794921875,,13.800000190734863
2023-01-09,31.450000762939453,17.406818389892578,5.079999923706055,,158.0500030517578,33.150150299072266,62.03188705444336,110.1132583618164,96.77005004882812,142.65391540527344,,13.600000381469727
2023-01-10,32.720001220703125,17.22060203552246,5.070000171661377,,150.89999389648438,32.83732604980469,62.0964469909668,110.57027435302734,97.93417358398438,141.48834228515625,,13.039999961853027
2023-01-11,35.779998779296875,17.176265716552734,5.179999828338623,,143.89999389648438,32.91093826293945,62.336326599121094,111.19181823730469,98.21134948730469,140.4740447998047,,13.25
2023-01-12,35.290000915527344,17.291542053222656,5.110000133514404,,149.39999389648438,32.7269172668457,61.58905792236328,111.71281433105469,97.79559326171875,138.22299194335938,,13.449999809265137
2023-01-13,34.689998626708984,17.31814193725586,5.050000190734863,,151.6999969482422,32.83732604980469,61.86582565307617,112.59942626953125,99.07059478759766,137.40438842773438,,13.5600004196167
